Data_Hora,Dificuldade,Rodada,Geracao,Fitness_Maximo_Global,Fitness_Medio_Pop
2026-09-01 16:23:24,1,1,1,546.8644,313.9020
2026-09-01 16:23:24,1,1,2,586.6935,387.3565
2026-09-01 16:23:24,1,1,3,599.6440,442.9541
2026-09-01 16:23:24,1,1,4,619.1339,447.5407
2026-09-01 16:23:24,1,1,5,619.1339,409.4244
2026-09-01 16:23:24,1,1,6,619.1339,481.4795
2026-09-01 16:23:24,1,1,7,619.1339,530.7773
2026-09-01 16:23:24,1,1,8,619.1339,530.0262
2026-09-01 16:23:24,1,1,9,700.3606,538.8648
2026-09-01 16:23:24,1,1,10,709.3623,518.5053
2026-09-01 16:23:24,1,1,11,734.5764,562.3299
2026-09-01 16:23:24,1,1,12,739.9551,581.8340
2026-09-01 16:23:24,1,1,13,739.9551,592.2164
2026-09-01 16:23:24,1,1,14,759.0799,625.3479
2026-09-01 16:23:24,1,1,15,763.8613,558.7465
2026-09-01 16:23:24,1,1,16,763.8613,553.1265
2026-09-01 16:23:24,1,1,17,767.9353,586.6549
2026-09-01 16:23:24,1,1,18,771.0864,577.5619
2026-09-01 16:23:24,1,1,19,774.0926,562.9711
2026-09-01 16:23:24,1,1,20,774.0926,535.9266
2026-09-01 16:23:24,1,1,21,784.4612,580.3749
2026-09-01 16:23:24,1,1,22,785.2611,534.9191
2026-09-01 16:23:24,1,1,23,804.6970,482.2447
2026-09-01 16:23:24,1,1,24,804.6970,567.3803
2026-09-01 16:23:24,1,1,25,804.6970,529.0224
2026-09-01 16:23:24,1,1,26,804.6970,564.7280
2026-09-01 16:23:24,1,1,27,804.6970,637.8282
2026-09-01 16:23:24,1,1,28,804.6970,631.2918
2026-09-01 16:23:24,1,1,29,804.6970,642.0072
2026-09-01 16:23:24,1,1,30,804.6970,624.1031
2026-09-01 16:23:49,2,1,1,506.9047,191.9484
2026-09-01 16:23:49,2,1,2,597.8042,202.0531
2026-09-01 16:23:49,2,1,3,597.8042,201.2130
2026-09-01 16:23:49,2,1,4,597.8042,232.9629
2026-09-01 16:23:49,2,1,5,597.8042,258.1868
2026-09-01 16:23:49,2,1,6,597.8042,218.2957
2026-09-01 16:23:49,2,1,7,597.8042,238.4024
2026-09-01 16:23:49,2,1,8,597.8042,223.2123
2026-09-01 16:23:49,2,1,9,597.8042,251.2534
2026-09-01 16:23:49,2,1,10,597.8042,241.5977
2026-09-01 16:23:49,2,1,11,597.8042,246.5479
2026-09-01 16:23:49,2,1,12,597.8042,238.5441
2026-09-01 16:23:49,2,1,13,597.8042,245.7917
2026-09-01 16:23:49,2,1,14,597.8042,216.7153
2026-09-01 16:23:49,2,1,15,597.8042,279.0519
2026-09-01 16:23:49,2,1,16,597.8042,266.8703
2026-09-01 16:25:26,3,1,1,207.2496,60.9105
2026-09-01 16:25:26,3,1,2,323.5628,73.0039
2026-09-01 16:25:26,3,1,3,323.5628,81.1892
2026-09-01 16:25:26,3,1,4,453.8457,85.3653
2026-09-01 16:25:26,3,1,5,453.8457,92.0583
2026-09-01 16:25:26,3,1,6,453.8457,97.9919
2026-09-01 16:25:26,3,1,7,453.8457,103.2505
2026-09-01 16:25:26,3,1,8,453.8457,102.4130
2026-09-01 16:25:26,3,1,9,453.8457,104.0010
2026-09-01 16:25:26,3,1,10,453.8457,102.9277
2026-09-01 16:25:26,3,1,11,556.2596,109.5673
2026-09-01 16:25:26,3,1,12,556.2596,117.3724
2026-09-01 16:25:26,3,1,13,556.2596,101.2588
2026-09-01 16:25:26,3,1,14,556.2596,103.7282
2026-09-01 16:25:26,3,1,15,556.2596,106.9452
2026-09-01 16:25:26,3,1,16,556.2596,109.9558
2026-09-01 16:25:26,3,1,17,556.2596,107.8464
2026-09-01 16:25:26,3,1,18,556.2596,104.9377
2026-09-01 16:25:37,1,2,1,669.8639,348.9472
2026-09-01 16:25:37,1,2,2,669.8639,373.6890
2026-09-01 16:25:37,1,2,3,669.8639,389.5935
2026-09-01 16:25:37,1,2,4,669.8639,417.7422
2026-09-01 16:25:37,1,2,5,669.8639,474.9191
2026-09-01 16:25:37,1,2,6,669.8639,436.3762
2026-09-01 16:25:37,1,2,7,669.8639,491.5197
2026-09-01 16:25:37,1,2,8,681.3815,535.6086
2026-09-01 16:25:37,1,2,9,683.0792,576.4124
2026-09-01 16:25:37,1,2,10,683.8895,523.6292
2026-09-01 16:25:37,1,2,11,683.8895,581.6825
2026-09-01 16:25:37,1,2,12,715.8804,566.2801
2026-09-01 16:25:37,1,2,13,716.3452,580.4910
2026-09-01 16:25:37,1,2,14,716.3452,624.5585
2026-09-01 16:25:37,1,2,15,729.0590,568.6015
2026-09-01 16:25:37,1,2,16,733.2475,584.9538
2026-09-01 16:25:37,1,2,17,733.2475,578.2781
2026-09-01 16:25:37,1,2,18,750.6440,582.0825
2026-09-01 16:25:37,1,2,19,750.6440,548.1576
2026-09-01 16:25:37,1,2,20,750.6440,535.0350
2026-09-01 16:25:37,1,2,21,750.6440,605.2439
2026-09-01 16:25:37,1,2,22,750.6440,499.3821
2026-09-01 16:25:37,1,2,23,750.6440,523.0643
2026-09-01 16:25:37,1,2,24,750.6440,615.6276
2026-09-01 16:25:37,1,2,25,751.6771,597.6550
2026-09-01 16:25:37,1,2,26,792.3956,506.3842
2026-09-01 16:25:37,1,2,27,826.9136,564.5946
2026-09-01 16:25:37,1,2,28,826.9136,555.9401
2026-09-01 16:25:37,1,2,29,826.9136,610.2031
2026-09-01 16:25:37,1,2,30,832.2213,597.6061
2026-09-01 16:26:43,2,2,1,428.1185,177.2010
2026-09-01 16:26:43,2,2,2,615.1505,199.0609
2026-09-01 16:26:43,2,2,3,615.1505,210.8320
2026-09-01 16:26:43,2,2,4,615.1505,210.9417
2026-09-01 16:26:43,2,2,5,615.1505,246.4424
2026-09-01 16:26:43,2,2,6,615.1505,247.9829
2026-09-01 16:26:43,2,2,7,615.1505,227.9667
2026-09-01 16:26:43,2,2,8,615.1505,280.2374
2026-09-01 16:26:43,2,2,9,615.1505,263.2119
2026-09-01 16:26:43,2,2,10,615.1505,242.9954
2026-09-01 16:26:43,2,2,11,615.1505,237.3280
2026-09-01 16:26:43,2,2,12,615.1505,246.9585
2026-09-01 16:26:43,2,2,13,615.1505,244.2373
2026-09-01 16:26:43,2,2,14,615.1505,246.4514
2026-09-01 16:26:43,2,2,15,615.1505,251.7125
2026-09-01 16:26:43,2,2,16,615.1505,218.9209
2026-09-01 16:26:43,2,2,17,615.1505,257.4380
2026-09-01 16:27:36,1,3,1,554.3934,339.7788
2026-09-01 16:27:36,1,3,2,554.3934,373.7788
2026-09-01 16:27:36,1,3,3,558.2046,386.3745
2026-09-01 16:27:36,1,3,4,598.1107,387.5366
2026-09-01 16:27:36,1,3,5,598.1107,461.8192
2026-09-01 16:27:36,1,3,6,600.6440,436.6759
2026-09-01 16:27:36,1,3,7,633.6590,488.4003
2026-09-01 16:27:36,1,3,8,653.4883,485.5461
2026-09-01 16:27:36,1,3,9,653.4883,494.8419
2026-09-01 16:27:36,1,3,10,653.4883,524.0447
2026-09-01 16:27:36,1,3,11,653.4883,504.6463
2026-09-01 16:27:36,1,3,12,680.0047,543.5187
2026-09-01 16:27:36,1,3,13,680.0047,520.0217
2026-09-01 16:27:36,1,3,14,680.0047,552.7848
2026-09-01 16:27:36,1,3,15,680.0047,573.7940
2026-09-01 16:27:36,1,3,16,685.2311,539.1306
2026-09-01 16:27:36,1,3,17,685.2311,562.2939
2026-09-01 16:27:36,1,3,18,697.1740,547.3485
2026-09-01 16:27:36,1,3,19,697.1740,552.7917
2026-09-01 16:27:36,1,3,20,714.1937,581.3390
2026-09-01 16:27:36,1,3,21,714.1937,602.3181
2026-09-01 16:27:36,1,3,22,714.1937,520.5784
2026-09-01 16:27:36,1,3,23,714.1937,574.3561
2026-09-01 16:27:36,1,3,24,714.1937,577.1999
2026-09-01 16:27:36,1,3,25,714.1937,530.9625
2026-09-01 16:27:36,1,3,26,714.1937,552.3882
2026-09-01 16:27:36,1,3,27,714.1937,551.9769
2026-09-01 16:27:36,1,3,28,714.1937,580.8678
2026-09-01 16:27:36,1,3,29,714.1937,590.4868
2026-09-01 16:27:36,1,3,30,714.1937,571.3974
2026-09-01 16:28:38,3,2,1,234.1439,45.2878
2026-09-01 16:28:38,3,2,2,373.9156,88.9283
2026-09-01 16:28:38,3,2,3,373.9156,97.4718
2026-09-01 16:28:38,3,2,4,373.9156,98.5068
2026-09-01 16:28:38,3,2,5,429.9075,103.2532
2026-09-01 16:28:38,3,2,6,429.9075,94.0674
2026-09-01 16:28:38,3,2,7,429.9075,110.1520
2026-09-01 16:28:38,3,2,8,429.9075,108.6774
2026-09-01 16:28:38,3,2,9,429.9075,114.0448
2026-09-01 16:28:38,3,2,10,429.9075,109.6826
