Data_Hora,Dificuldade,Populacao,Geracoes_Treinadas,Fitness_Max,Fitness_Medio,Elite_HP,Elite_Atk,Elite_AtkSpd,Elite_MovSpd,Elite_Sobrevivencia,Elite_Desvios,Elite_Colisoes,Elite_DanoCausado,Elite_DanoTomado,Tempo_Treino_Seg,Modo_EDS
2026-09-01 15:22:47,2,50,21,583.24,259.07,85,30,1.88,3.05,20.55,24,4,1003.85,100.00,187.32,0
2026-09-01 15:22:49,1,20,30,826.67,562.39,15,40,2.47,2.44,30.00,22,0,2636.67,0.00,122.21,0
2026-09-01 15:23:10,3,100,17,573.16,115.67,46,25,1.71,5.49,6.25,15,2,239.31,50.00,211.08,0
2026-09-01 15:25:00,1,20,30,780.96,633.47,33,44,2.17,2.09,27.20,19,2,2182.30,50.00,131.29,0
2026-09-01 15:26:02,2,50,20,604.51,234.15,61,29,1.90,4.01,15.75,17,3,748.04,75.00,195.25,0
2026-09-01 15:26:46,3,100,17,562.05,120.13,63,28,1.60,5.03,6.15,11,3,238.67,75.00,215.31,0
2026-09-01 15:27:10,1,20,30,772.23,539.58,25,39,2.33,2.68,30.00,23,0,2505.71,0.00,129.58,0
2026-09-01 15:28:58,2,50,18,592.30,237.54,70,26,1.88,4.08,8.80,8,3,385.58,75.00,175.20,0
2026-09-01 15:29:14,1,20,30,804.47,622.59,10,37,2.51,2.91,15.35,11,1,1304.17,25.00,123.42,0
2026-09-01 15:30:09,3,100,17,556.34,120.44,33,21,1.85,5.28,4.50,10,2,167.97,50.00,202.56,0
2026-09-01 15:30:59,1,20,25,737.30,526.62,42,38,2.22,2.49,10.80,6,2,844.55,50.00,105.31,0
2026-09-01 15:31:51,2,50,18,580.12,215.42,56,33,1.37,4.42,9.50,9,3,381.50,75.00,173.62,0
2026-09-01 15:32:20,1,20,21,782.94,531.46,19,47,1.95,2.71,24.95,17,1,2012.07,25.00,80.43,0
2026-09-01 15:33:33,3,100,16,457.62,109.73,65,25,0.99,4.34,8.30,18,3,188.78,75.00,204.45,0
2026-09-01 15:34:35,1,20,30,758.37,535.18,18,38,2.29,3.18,30.00,21,0,2346.66,0.00,134.58,0
2026-09-01 15:34:39,2,50,17,622.16,280.32,67,30,1.80,4.00,28.05,36,3,1310.07,75.00,167.11,0
2026-09-01 15:38:05,1,20,16,748.55,557.87,40,41,2.09,2.41,26.15,18,2,1980.01,50.00,69.40,0
2026-09-01 15:39:37,2,50,19,606.22,225.12,74,32,1.65,3.83,30.00,39,2,1363.72,50.00,176.81,0
2026-09-01 15:39:42,2,50,17,609.72,251.55,48,29,2.01,3.70,16.50,18,2,869.82,50.00,166.03,0
2026-09-01 15:40:08,3,100,16,462.22,105.23,72,31,1.48,4.52,9.25,22,3,371.96,75.00,192.47,0
2026-09-01 15:40:09,1,20,30,812.48,507.50,10,46,2.09,2.73,30.00,23,0,2521.78,0.00,122.90,0
2026-09-01 15:42:33,2,50,20,617.12,213.95,37,30,1.82,5.02,10.20,10,2,509.96,50.00,170.88,0
2026-09-01 15:43:29,3,100,16,544.42,96.31,54,23,1.65,5.93,10.90,24,3,364.68,75.00,200.06,0
2026-09-01 15:43:58,1,20,30,744.31,586.27,28,40,2.26,2.56,30.00,23,0,2393.69,0.00,130.94,0
2026-09-01 15:45:26,2,50,18,585.88,279.54,75,31,1.62,3.96,22.10,20,3,980.99,75.00,172.01,0
2026-09-01 15:46:12,1,20,26,755.97,492.99,10,47,1.84,3.38,30.00,23,0,2363.46,0.00,102.73,0
2026-09-01 15:46:42,3,100,16,526.46,108.30,88,14,1.96,5.29,8.40,16,4,198.82,100.00,193.20,0
2026-09-01 15:48:02,2,50,18,612.91,257.38,69,31,1.70,4.08,22.30,28,3,1019.14,75.00,155.62,0
2026-09-01 15:51:47,3,100,17,528.10,119.10,106,17,1.84,4.43,12.60,31,5,344.79,125.00,203.48,0
2026-09-01 15:54:58,3,100,16,531.33,96.67,36,25,1.97,3.98,11.00,27,2,450.63,50.00,190.49,0
2026-09-01 15:58:29,3,100,17,452.39,99.94,41,24,1.65,6.30,4.70,9,2,169.34,50.00,209.45,0
2026-09-01 16:01:47,3,100,17,459.33,107.71,49,23,2.02,4.52,9.75,21,2,404.05,50.00,197.24,0
2026-09-01 16:04:46,1,20,30,767.39,600.41,18,47,1.93,2.68,18.15,10,2,1540.51,50.00,120.37,0
2026-09-01 16:05:41,2,50,19,610.30,283.06,41,33,1.71,4.77,11.40,13,2,575.22,50.00,174.59,0
2026-09-01 16:05:52,1,20,18,806.68,542.30,29,44,2.23,1.98,30.00,22,0,2607.32,0.00,64.00,0
2026-09-01 16:06:14,3,100,18,522.11,103.06,41,33,1.58,5.10,9.45,20,2,414.65,50.00,207.63,0
2026-09-01 16:06:53,3,100,18,441.46,115.27,66,12,1.56,4.60,6.60,13,3,113.95,75.00,282.20,0
2026-09-01 16:07:55,1,20,30,772.09,571.18,24,38,2.40,2.69,26.95,20,1,2139.19,25.00,122.15,0
2026-09-01 16:09:06,2,50,23,602.11,256.87,59,30,1.62,4.22,26.35,29,3,1143.97,75.00,204.23,0
2026-09-01 16:09:15,3,100,16,648.78,118.03,27,33,1.68,5.05,10.05,22,2,474.20,50.00,179.98,0
2026-09-01 16:09:33,1,20,25,796.28,521.31,25,41,2.30,2.34,14.35,8,2,1189.75,50.00,97.00,0
2026-09-01 16:11:11,1,20,26,791.61,518.46,10,40,2.31,3.06,30.00,22,0,2517.89,0.00,96.52,0
2026-09-01 16:11:15,3,100,17,536.14,116.57,68,22,1.23,5.15,9.75,18,3,244.46,75.00,259.47,0
2026-09-01 16:11:33,2,50,16,655.84,255.11,37,38,1.77,3.67,14.10,13,2,815.91,50.00,146.12,0
2026-09-01 16:12:29,1,20,20,791.10,554.20,20,41,2.19,2.84,19.10,13,1,1545.84,25.00,77.50,0
2026-09-01 16:12:52,3,100,18,448.94,107.41,58,24,1.26,5.77,3.10,4,3,85.58,75.00,215.88,0
2026-09-01 16:13:33,1,20,16,736.12,549.95,14,34,2.50,3.31,17.70,12,1,1351.14,25.00,63.00,0
2026-09-01 16:14:03,2,50,16,523.72,200.82,74,25,1.51,5.18,17.90,19,3,627.78,75.00,148.45,0
2026-09-01 16:15:15,3,100,16,489.35,108.82,58,30,1.76,4.37,4.50,9,3,210.62,75.00,238.72,0
2026-09-01 16:15:19,1,20,28,804.45,567.81,14,42,2.24,2.80,27.70,19,1,2377.63,25.00,105.01,0
2026-09-01 16:16:07,3,100,17,640.53,110.82,49,25,1.83,5.14,7.20,17,2,304.30,50.00,194.27,0
2026-09-01 16:17:10,1,20,30,801.92,543.14,25,41,2.38,2.23,18.15,12,2,1559.56,50.00,110.37,0
2026-09-01 16:17:15,2,50,20,552.50,267.83,83,26,1.47,4.67,17.65,18,4,610.53,100.00,190.72,0
2026-09-01 16:18:23,1,20,17,821.87,543.42,31,40,2.61,1.44,10.95,6,2,1007.51,50.00,71.71,0
2026-09-01 16:19:22,3,100,16,468.49,113.26,41,34,1.39,5.44,14.80,36,3,614.31,75.00,245.56,0
2026-09-01 16:19:23,3,100,17,468.42,105.39,36,30,1.66,5.34,7.90,17,2,360.42,50.00,194.40,0
2026-09-01 16:20:20,2,50,20,586.07,249.18,53,33,1.46,4.56,13.35,14,3,584.33,75.00,183.49,0
2026-09-01 16:23:24,1,20,30,804.70,624.10,30,45,2.14,1.99,11.60,5,2,969.46,50.00,111.72,0
2026-09-01 16:23:49,2,50,16,597.80,266.87,55,37,1.76,3.45,20.05,18,3,1131.69,75.00,136.94,0
